Speed,Responsiveness,Color,Navigation,Registration,Age,Sex,Keywords,Engagement
2.5,8,Blue,Top,Registered,30,Male,"Dental implants, Orthodontics",High
4,6,Green,Middle,Unregistered,25,Female,"Teeth whitening, Dentistry",Medium
3.2,9,Red,Top,Registered,40,Male,"Oral health, Gum disease",High
5.1,4,Yellow,Bottom,Registered,35,Female,"Dental surgery, Braces",Low
2.8,7,Purple,Top,Unregistered,28,Male,"Pediatric dentistry, Crowns",High
4.5,5,Orange,Middle,Registered,32,Female,"Root canal, Cosmetic dentistry",Medium
3.9,6,Blue,Top,Registered,45,Male,"Oral hygiene, Dental fillings",High
6.2,3,Green,Bottom,Unregistered,20,Male,"Dental checkup, Tooth extraction",Low
3.1,8,Red,Top,Unregistered,38,Female,"Periodontics, Dental implants",High
4.7,5,Yellow,Middle,Registered,27,Male,"Oral surgery, Dental emergencies",Medium
2.3,9,Purple,Top,Registered,33,Male,"Teeth cleaning, Veneers",High
3.6,7,Blue,Middle,Unregistered,24,Female,"Orthodontics, Teeth realignment",Medium
5,4,Green,Bottom,Registered,42,Male,"Dental care, Tooth health",Low
1.9,8,Red,Top,Registered,29,Female,"Dental implants, Oral care",High
4.2,6,Yellow,Middle,Unregistered,37,Male,"Gum treatment, Dentures",Medium
3.8,5,Blue,Top,Registered,31,Female,"Family dentistry, Pediatric care",High
6,3,Purple,Bottom,Unregistered,22,Male,"Dental braces, Cosmetic procedures",Low
2.9,8,Orange,Top,Registered,46,Female,"Periodontal therapies, Teeth cleaning",High
4.6,5,Red,Middle,Unregistered,27,Male,"Smile makeover, Aesthetic dentistry",Medium
3.5,7,Yellow,Top,Registered,36,Female,"Endodontics, Root treatments",High
5.2,4,Green,Bottom,Unregistered,39,Male,"Dental wellness, Hygiene tips",Low
2.7,8,Blue,Top,Registered,30,Female,"Dental examinations, Fluoride treatments",High
4.1,6,Purple,Middle,Registered,25,Male,"Teeth preservation, Orthodontic services",Medium
5.8,3,Red,Bottom,Unregistered,43,Female,"Dental health, Bridge work",Low
3.4,7,Orange,Top,Registered,34,Male,"Dental clinic services, General dentistry",High
4.4,5,Blue,Middle,Unregistered,28,Female,"Invisalign, Clear aligners",Medium
3.7,8,Green,Top,Registered,32,Male,"Tooth extraction, Emergency dental care",High
6.1,4,Yellow,Bottom,Unregistered,21,Female,"Dental repair, Fillings",Low
2.6,9,Purple,Top,Registered,38,Male,"Oral surgery, Sedation dentistry",High
5.3,5,Red,Middle,Registered,26,Female,"Dental prophylaxis, Preventive care",Medium
2.4,7,Blue,Top,Unregistered,41,Male,"Dental bonding, Tooth contouring",High
4.9,6,Orange,Middle,Registered,23,Female,"Veneers, Whitening services",Medium
3,8,Yellow,Bottom,Unregistered,44,Male,"General dentistry, Toothpaste brands",Low
1.8,9,Green,Top,Registered,19,Female,"Pediatric dental care, Molar caps",High
4.3,5,Purple,Middle,Unregistered,47,Male,"Orthodontic care, Braces types",Medium
3,7,Red,Top,Registered,31,Female,"Dental tourism, Affordable care",High
5.9,3,Blue,Bottom,Unregistered,29,Male,"Tooth implants, Cosmetic veneers",Low
3.3,8,Yellow,Top,Registered,34,Female,"Emergency dentistry, Filling materials",High
4.8,4,Green,Middle,Unregistered,26,Male,"Halitosis treatment, Dental rinses",Medium
2.2,9,Purple,Top,Registered,37,Female,"Cavity prevention, Sealants",High
